# recno   PNG           Name              f_PNG   RAJ2000              DEJ2000                SpType1              r_SpType1   SpType2         r_SpType2   BR        rspect                     Com                                                                                                                                  SimbadName       recno   PNG           l_logg   logg   E_logg   e_logg   r_logg    TpTeff    l_logTeff   logTeff   E_logTeff   e_logTeff   r_logTeff   l_logL   logL    E_logL   e_logL   r_logL    Band   l_mag   mag     E_mag   e_mag   r_mag     Note      
  207     "064.6+48.2 " "NGC 6058"        " "     241.1108333333333    40.682249999999996     O(H)3                "t.w.   "   " "             "       "   "       " HB2011                     " "                                                                                                                                  "PN G064.6+48.2" 207     "064.6+48.2 " " "      4.8    ""       ""       "HB2011 " *         " "         4.961     ""          ""          "HB2011 "   " "      3.92    ""       ""       "HB2011 " "v "   " "     13.94   ""      ""      "TA1991 " " "       
  218     "075.7+35.8 " "Sa 4-1"          " "     258.46               49.269722222222214     "O(H)3 V"            "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G075.7+35.8" 218     "075.7+35.8 " " "      ""     ""       ""       "       " eff       " "         4.315     0.009       0.009       "SV2002 "   " "      3.113   0.044    0.044    "SV2002 " "v "   " "     14.31   ""      ""      "TA1991 " " "       
  231     "085.4+52.3 " "Jacoby 1"        " "     230.44416666666663   52.36777777777777      "PG 1159"            "WH2006 "   " "             "       "   "       " DH1998                     " "                                                                                                                                  "PN G085.4+52.3" 231     "085.4+52.3 " " "      7.5    0.5      0.5      "WR2016 " " "       " "         5.176     0.022       0.022       "WR2016 "   " "      2.38    ""       ""       "Fd2008 " "v "   " "     15.52   ""      ""      "FP2016 " " "       
  241     "096.4+29.9 " "NGC 6543"        " "     269.63916666666665   66.63319444444444      Of-WR(H)             "WM2015 "   " "             "       "   "       " WM2015                     " "                                                                                                                                  "PN G096.4+29.9" 241     "096.4+29.9 " " "      4.7    0.3      0.3      "HB2011 " *         " "         4.781     ""          ""          "HB2011 "   " "      3.58    ""       ""       GM2019b   "v "   " "     11.29   ""      ""      GM2019b   " "       
  242     "096.9+32.0 " "RE 1738+665"     *       264.5108333333333    66.89663888888887      DA                   "N1999  "   " "             "       "   "       " BH1994                     "HII region?"                                                                                                                        "PN G096.9+32.0" 242     "096.9+32.0 " " "      7.86   ""       ""       "N1999  " eff       " "         4.979     ""          ""          "N1999  "   " "      ""      ""       ""       "       " "v "   " "     14.58   ""      ""      "HD2007 " " "       
  265     "123.6+34.5 " "IC 3568"         " "     188.27874999999997   82.5636111111111       O(H)3                "SECGPN "   O5f             "P1984  "   "       " M1990                      " "                                                                                                                                  "PN G123.6+34.5" 265     "123.6+34.5 " " "      4.05   ""       ""       "MK1992 " eff       " "         4.699     ""          ""          "MK1992 "   " "      3.96    ""       ""       "MK1992 " "v "   " "     13.72   ""      ""      "TA1991 " " "       
  209     "065.0-27.3 " "Ps 1"            " "     322.49749999999995   12.17397222222222      sdO                  "RH2002 "   O(H)-C          "PT1992 "   "       " OH2015                     " "                                                                                                                                  "PN G065.0-27.3" 209     "065.0-27.3 " " "      3.9    ""       ""       "Gd2013 " eff       " "         4.591     ""          ""          "Gd2013 "   " "      3.48    ""       ""       "PL2016 " "v "   " "     12.86   ""      ""      "TA1991 " " "       
  194     "059.7-18.7 " "A 72"            " "     312.50874999999996   13.558194444444442     "PG 1159"            "dP2013 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G059.7-18.7" 194     "059.7-18.7 " " "      ""     ""       ""       "       " eff       " "         5.029     0.016       0.016       SB2019b     " "      2.517   0.044    0.044    "SV2002 " "v "   " "     16.01   ""      ""      "dP2013 " " "       
  210     "066.7-28.2 " "NGC 7094"        " "     324.2208333333333    12.78861111111111      hybrid               "WH2006 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G066.7-28.2" 210     "066.7-28.2 " " "      5.7    ""       ""       "Gd2013 " eff       " "         5.041     ""          ""          "Gd2013 "   " "      3.088   0.204    0.204    SB2019b   "v "   " "     13.6    0.2     0.2     "NS1995 " " "       
  8       "No 8       " "PM 1-322"        *       303.7120833333333    12.063888888888886     SySt                 "MV2010 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN PM 1-322"    8       "No 8       " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
